cos(0.5235987755982988) = | 0.8660254037844386;
cos(1.0471975511965976) = | 0.5000000000000001;
cos(1.5707963267948966) = | 6.08176268469988E-17;
cos(4.71238898038469) = | 5.537445250213189E-7;
cos(4.1887902047863905) = | -0.4999999581659384;
cos(3.665191429188092) = | -0.8660254015514829;
firstEq(-1.0) = | 2.9658211266829007;
firstEq(-0.6) = | 1.2933787874376357;
firstEq(-3.141592653589793) = | -0.9999999997730479;
firstEq(-2.0) = | 4.358252367494879;
firstEq(-1.9) = | 8.244610293569362;
secondEq(1.2) = | 5.722722965517933E-11;
secondEq(1.4) = | 6.504821217476582E-6;
secondEq(1.0) = | 0.0;
secondEq(0.5) = | 0.016746276300225668;
secondEq(0.7) = | 1.18312909860564E-4;
log10(0.01) = | -1.9999961205056427;
log10(0.02) = | -1.6989680973325578;
log3(1.45) = | 0.33821211505708937;
log3(1.3) = | 0.23881476592037498;
log5(4.3) = | 0.9062884886346655;
log5(5.0) = | 1.0;
logn(0.5) = | -0.6931471370510288;
logn(2.0) = | 0.6931474938841026;
logn(1.0) = | 0.0;
secondEq(-5.0) = | NaN;
secondEq(5.0) = | NaN;
log5(4.3) = | 0.9062884886346655;
log5(5.0) = | 1.0;
log10(0.01) = | -1.9999961205056427;
log10(0.02) = | -1.6989680973325578;
sin(-1.0471975511965976) = | -0.8660254037844386;
sin(-0.5235987755982988) = | -0.5000000000000001;
sin(0.0) = | 0.0;
sin(3.141592653589793) = | 1.2300464049804026E-5;
sin(0.5235987755982988) = | 0.5000000000000001;
sin(1.0471975511965976) = | 0.8660254037844386;
cos(0.5235987755982988) = | 0.8660254037844386;
cos(1.0471975511965976) = | 0.5000000000000001;
cos(1.5707963267948966) = | 6.08176268469988E-17;
cos(4.71238898038469) = | 5.537445250213189E-7;
cos(4.1887902047863905) = | -0.4999999581659384;
cos(3.665191429188092) = | -0.8660254015514829;
logn(0.5) = | -0.6931471370510288;
logn(2.0) = | 0.6931474938841026;
logn(1.0) = | 0.0;
log3(1.45) = | 0.33821211505708937;
log3(1.3) = | 0.23881476592037498;
cot(1.5707963267948966) = | 6.08176268469988E-17;
cot(0.5235987755982988) = | 1.7320508075688767;
cot(1.0471975511965976) = | 0.577350269189626;
tan(0.0) = | 0.0;
tan(0.5235987755982988) = | 0.577350269189626;
tan(1.0471975511965976) = | 1.7320508075688767;
firstEq(-1.0) = | 2.9658211266829007;
firstEq(-0.6) = | 1.2933787874376357;
firstEq(-3.141592653589793) = | -0.9999999997730479;
firstEq(-2.0) = | 4.358252367494879;
firstEq(-1.9) = | 8.244610293569362;
secondEq(1.2) = | 5.722722965517933E-11;
secondEq(1.4) = | 6.504821217476582E-6;
secondEq(1.0) = | 0.0;
secondEq(0.5) = | 0.016746276300225668;
secondEq(0.7) = | 1.18312909860564E-4;
secondEq(-5.0) = | NaN;
secondEq(5.0) = | NaN;
